,Entity,Code,Year,Solar Capacity
250,Brazil,BRA,0.46303450247589817,-0.22541572278754982
251,Brazil,BRA,0.5966300224076404,-0.22530748364698933
252,Brazil,BRA,0.7302255423393827,-0.22515812460319903
253,Brazil,BRA,0.863821062271125,-0.22470341051101334
254,Brazil,BRA,0.9974165822028672,-0.22320009317737077
255,Brazil,BRA,1.1310121021346096,-0.20347208368641126
256,Brazil,BRA,1.2646076220663518,-0.18101547882048133
257,Brazil,BRA,1.398203141998094,-0.1411906239969193
258,Brazil,BRA,1.5317986619298365,-0.08147688194628432
259,Brazil,BRA,1.6653941818615787,0.013155007969187262
260,Bulgaria,BGR,-1.6744938164319783,-0.22553654107147272
261,Bulgaria,BGR,-1.540898296500236,-0.22553654107147272
262,Bulgaria,BGR,-1.4073027765684938,-0.22553654107147272
263,Bulgaria,BGR,-1.2737072566367516,-0.22553654107147272
264,Bulgaria,BGR,-1.140111736705009,-0.22553654107147272
265,Bulgaria,BGR,-1.0065162167732669,-0.22553654107147272
266,Bulgaria,BGR,-0.8729206968415246,-0.22553654107147272
267,Bulgaria,BGR,-0.7393251769097824,-0.22553654107147272
268,Bulgaria,BGR,-0.60572965697804,-0.22553654107147272
269,Bulgaria,BGR,-0.4721341370462978,-0.22553654107147272
270,Bulgaria,BGR,-0.3385386171145555,-0.22553654107147272
271,Bulgaria,BGR,-0.20494309718281326,-0.22553599256231446
272,Bulgaria,BGR,-0.07134757725107096,-0.2255347127076119
273,Bulgaria,BGR,0.06224794268067132,-0.22549997379425635
274,Bulgaria,BGR,0.1958434626124136,-0.22507945010626798
275,Bulgaria,BGR,0.3294389825441559,-0.22272086072581151
276,Bulgaria,BGR,0.46303450247589817,-0.20701521516137653
277,Bulgaria,BGR,0.5966300224076404,-0.2068872296911192
278,Bulgaria,BGR,0.7302255423393827,-0.20677752785947007
279,Bulgaria,BGR,0.863821062271125,-0.2067226769436455
280,Bulgaria,BGR,0.9974165822028672,-0.20674096058225366
281,Bulgaria,BGR,1.1310121021346096,-0.2066025534379897
282,Bulgaria,BGR,1.2646076220663518,-0.20665541143720595
283,Bulgaria,BGR,1.398203141998094,-0.20637620199202028
284,Bulgaria,BGR,1.5317986619298365,-0.20547286225930544
285,Bulgaria,BGR,1.6653941818615787,-0.20384561842317656
286,CIS (BP),BGR,-1.6744938164319783,-0.22553654107147272
287,CIS (BP),BGR,-1.540898296500236,-0.22553654107147272
288,CIS (BP),BGR,-1.4073027765684938,-0.22553654107147272
289,CIS (BP),BGR,-1.2737072566367516,-0.22553654107147272
290,CIS (BP),BGR,-1.140111736705009,-0.22553654107147272
291,CIS (BP),BGR,-1.0065162167732669,-0.22553654107147272
292,CIS (BP),BGR,-0.8729206968415246,-0.22553654107147272
293,CIS (BP),BGR,-0.7393251769097824,-0.22553654107147272
294,CIS (BP),BGR,-0.60572965697804,-0.22553654107147272
295,CIS (BP),BGR,-0.4721341370462978,-0.2255353892022404
296,CIS (BP),BGR,-0.3385386171145555,-0.2255350966640227
297,CIS (BP),BGR,-0.20494309718281326,-0.2255237973753628
298,CIS (BP),BGR,-0.07134757725107096,-0.22552767350674777
299,CIS (BP),BGR,0.06224794268067132,-0.22553109254716747
300,CIS (BP),BGR,0.1958434626124136,-0.22550770777338763
301,CIS (BP),BGR,0.3294389825441559,-0.2254996446887614
302,CIS (BP),BGR,0.46303450247589817,-0.22547201811082443
303,CIS (BP),BGR,0.5966300224076404,-0.22518876798150633
304,CIS (BP),BGR,0.7302255423393827,-0.22391249687210027
305,CIS (BP),BGR,0.863821062271125,-0.2215722276975292
306,CIS (BP),BGR,0.9974165822028672,-0.21991360913754865
307,CIS (BP),BGR,1.1310121021346096,-0.2161684434559629
308,CIS (BP),BGR,1.2646076220663518,-0.20327109164719145
309,CIS (BP),BGR,1.398203141998094,-0.17765315424771247
310,CIS (BP),BGR,1.5317986619298365,-0.16431706824689885
311,CIS (BP),BGR,1.6653941818615787,-0.13573853438215017
312,Canada,CAN,-1.6744938164319783,-0.22548169015564815
313,Canada,CAN,-1.540898296500236,-0.22548169015564815
314,Canada,CAN,-1.4073027765684938,-0.22544512287843177
315,Canada,CAN,-1.2737072566367516,-0.2254268392398236
316,Canada,CAN,-1.140111736705009,-0.2254085556012154
317,Canada,CAN,-1.0065162167732669,-0.22537198832399902
318,Canada,CAN,-0.8729206968415246,-0.22535370468539084
319,Canada,CAN,-0.7393251769097824,-0.22531713740817444
320,Canada,CAN,-0.60572965697804,-0.2252805701309581
321,Canada,CAN,-0.4721341370462978,-0.2252074355765253
322,Canada,CAN,-0.3385386171145555,-0.22513430102209256
323,Canada,CAN,-0.20494309718281326,-0.22500631555183523
324,Canada,CAN,-0.07134757725107096,-0.22484176280436152
325,Canada,CAN,0.06224794268067132,-0.22358019174039645
326,Canada,CAN,0.1958434626124136,-0.22098391505803347
327,Canada,CAN,0.3294389825441559,-0.21405441602552958
328,Canada,CAN,0.46303450247589817,-0.21153127389759938
329,Canada,CAN,0.5966300224076404,-0.20341333835556313
330,Canada,CAN,0.7302255423393827,-0.19183979511657903
331,Canada,CAN,0.863821062271125,-0.17948005541744277
332,Canada,CAN,0.9974165822028672,-0.1768106441806471
333,Canada,CAN,1.1310121021346096,-0.1719289126722604
334,Canada,CAN,1.2646076220663518,-0.1689486795791255
335,Canada,CAN,1.398203141998094,-0.16470687542202547
336,Canada,CAN,1.5317986619298365,-0.1644326208429026
337,Canada,CAN,1.6653941818615787,-0.15917424637918726
338,Chile,CHL,-1.6744938164319783,-0.22553654107147272
339,Chile,CHL,-1.540898296500236,-0.22553654107147272
340,Chile,CHL,-1.4073027765684938,-0.22553654107147272
341,Chile,CHL,-1.2737072566367516,-0.22553654107147272
342,Chile,CHL,-1.140111736705009,-0.22553654107147272
343,Chile,CHL,-1.0065162167732669,-0.22553654107147272
344,Chile,CHL,-0.8729206968415246,-0.22553654107147272
345,Chile,CHL,-0.7393251769097824,-0.22553654107147272
346,Chile,CHL,-0.60572965697804,-0.22553654107147272
347,Chile,CHL,-0.4721341370462978,-0.22553654107147272
348,Chile,CHL,-0.3385386171145555,-0.22553654107147272
349,Chile,CHL,-0.20494309718281326,-0.22553654107147272
350,Chile,CHL,-0.07134757725107096,-0.22553654107147272
351,Chile,CHL,0.06224794268067132,-0.22553654107147272
352,Chile,CHL,0.1958434626124136,-0.22553654107147272
353,Chile,CHL,0.3294389825441559,-0.22553654107147272
354,Chile,CHL,0.46303450247589817,-0.22549997379425635
355,Chile,CHL,0.5966300224076404,-0.22526228649234986
356,Chile,CHL,0.7302255423393827,-0.2214958569390628
357,Chile,CHL,0.863821062271125,-0.21500516523315544
358,Chile,CHL,0.9974165822028672,-0.20496744763725927
359,Chile,CHL,1.1310121021346096,-0.1924614388292575
360,Chile,CHL,1.2646076220663518,-0.18646440536577125
361,Chile,CHL,1.398203141998094,-0.17701728586419685
362,Chile,CHL,1.5317986619298365,-0.16692947109851422
363,Chile,CHL,1.6653941818615787,-0.14581974875429524
364,China,CHN,-1.6744938164319783,-0.22551825743286455
365,China,CHN,-1.540898296500236,-0.22549083197495226
366,China,CHN,-1.4073027765684938,-0.22544512287843177
367,China,CHN,-1.2737072566367516,-0.22535370468539084
