,Date-Hour(NMT),WindSpeed,Sunshine,AirPressure,Radiation,AirTemperature,RelativeAirHumidity,SystemProduction
4035,18.06.2017-03:00,-0.9454534047614317,-0.5281262988886889,0.3312858019083125,-0.5755553859204183,0.9628181677163759,0.792648436627909,-0.46037380082298074
4036,18.06.2017-04:00,-0.6384527402974433,-0.5281262988886889,0.3391024293168621,-0.5563589615175174,1.0022719604617316,0.792648436627909,-0.46037380082298074
4037,18.06.2017-05:00,-0.884053271868634,-0.5281262988886889,0.3391024293168621,-0.4494074541299263,1.0417257532070876,0.792648436627909,-0.46037380082298074
4038,18.06.2017-06:00,-1.25245406922542,-0.5281262988886889,0.3391024293168621,-0.3133870755036565,1.0943308102008955,0.6889026716402282,-0.42653332532659594
4039,18.06.2017-07:00,-0.884053271868634,-0.5281262988886889,0.3703689389510516,-0.014471324087055745,1.2652972454307712,0.27391961168950524,-0.22617964897470433
4040,18.06.2017-08:00,-0.884053271868634,-0.5281262988886889,0.3781855663596012,0.40949542058272836,1.3968098879152908,0.22204672919566487,0.07457501963264891
4041,18.06.2017-09:00,-0.4542523416190503,-0.5281262988886889,0.4016354485852411,0.9574162199683875,1.5414737946482622,-0.19293633075505812,0.5273877747433838
4042,18.06.2017-10:00,-0.14725167715506185,0.7472581898663034,0.362552311542502,1.7406303356067467,1.72559149412659,-0.7116651556934619,1.2995562220257582
4043,18.06.2017-11:00,0.466749651772915,-0.1502345985168393,0.362552311542502,1.6473905599355134,1.7518940226234938,-0.607919390705781,1.0943842414559355
4044,18.06.2017-12:00,1.7561524425216666,-0.4336533737957265,0.3469190567254028,1.3934492885485668,1.7650452868719455,-0.7116651556934619,1.032305865028293
4045,18.06.2017-13:00,1.3263515122720826,-0.1502345985168393,0.3234691744997629,1.198194228907631,2.001768043344081,-1.022902450656504,1.0251344136048868
4046,18.06.2017-14:00,1.817552575414464,1.644750978249446,0.3156525470912133,2.4969694570810446,2.0938268930832447,-1.6972499230764289,2.004940065702317
4047,18.06.2017-15:00,1.0193508478080942,2.117115603714258,0.28438603745702384,2.2759363418133565,2.146431950077053,-1.5935041580887481,2.84400505916471
4048,18.06.2017-16:00,1.5719520438432735,2.306061453900183,0.23748627300573513,2.9033851851538905,2.3042471210584763,-1.8009956880641096,1.9917176643219743
4049,18.06.2017-17:00,0.5281497846657127,2.164352066260739,0.22185301818864483,2.026382824575644,2.435759763542996,-2.0603601005333116,2.8421002201182657
4050,18.06.2017-18:00,0.4053495188801173,0.7944946524127846,0.20621976337154563,0.6722122002681444,2.1727344785739566,-1.8009956880641096,2.4776986343888785
4051,18.06.2017-19:00,1.3263515122720826,0.08594771421556668,0.2609361552313839,0.4188193981498518,2.080675628834793,-2.112232983027152,0.5263792158511171
4052,18.06.2017-20:00,1.9403528412000595,-0.5281262988886889,0.2922026648655734,-0.21137179153395425,1.8702554008595613,-2.267851630508673,0.27862643150322436
4053,18.06.2017-21:00,1.878952708307262,0.5583123396803786,0.3078359196826637,-0.3292926842946316,1.686137701381234,-2.112232983027152,-0.26125277021009435
4054,18.06.2017-22:00,2.1245532398784523,-0.5281262988886889,0.362552311542502,-0.510287542950555,1.4888687376544545,-2.0603601005333116,-0.3792462271375754
4055,18.06.2017-23:00,1.3263515122720826,-0.5281262988886889,0.4094520759937907,-0.5629405927413691,1.3047510381761267,-1.7491228055702692,-0.46037380082298074
4056,19.06.2017-00:00,1.4491517780576781,-0.5281262988886889,0.4641684678536201,-0.5706191625025295,1.1337846029462513,-1.437885510607227,-0.46037380082298074
4057,19.06.2017-01:00,0.036948721523331375,-0.5281262988886889,0.4719850952621697,-0.5706191625025295,0.9891206962132797,-1.1785210981380252,-0.46037380082298074
4058,19.06.2017-02:00,-0.4542523416190503,-0.5281262988886889,0.47980172267071924,-0.5722645703084924,0.7787004682380483,-0.867283803174983,-0.46037380082298074
4059,19.06.2017-03:00,-0.7612530060830387,-0.5281262988886889,0.5032516048963591,-0.5618436542040605,0.7129441469957885,-0.7116651556934619,-0.46037380082298074
4060,19.06.2017-04:00,-0.39285220872625254,-0.2447075236098017,0.49543497748781845,-0.4899941800103454,0.6734903542504325,-0.6597922731996214,-0.46037380082298074
4061,19.06.2017-05:00,-0.6384527402974433,0.9834405025987094,0.5032516048963591,-0.11922895440002963,0.9102131107225679,-1.022902450656504,-0.46037380082298074
4062,19.06.2017-06:00,0.1597489873089266,2.306061453900183,0.49543497748781845,0.6447887368354288,1.1863896599400592,-1.282266863125706,-0.38714607847024224
4063,19.06.2017-07:00,0.1597489873089266,2.069879141167777,0.5110682323049087,1.521791097413676,1.2652972454307712,-1.5416312755949078,-0.1559213294641664
4064,19.06.2017-08:00,-0.3314520758334548,0.03871125166908549,0.5110682323049087,1.112633022997558,1.3573560951699348,-1.5416312755949078,0.16444278713418503
4065,19.06.2017-09:00,0.09834885441612884,2.164352066260739,0.47980172267071924,2.1059108685305197,1.5020200019029062,-1.5416312755949078,0.874981233380726
4066,19.06.2017-10:00,0.1597489873089266,2.306061453900183,0.44071858562798016,3.1885892048541336,1.6992889656296857,-1.7491228055702692,1.6908509859076404
4067,19.06.2017-11:00,1.5719520438432735,2.306061453900183,0.4094520759937907,3.81878039453794,1.7518940226234938,-1.9047414530517903,2.6104833023222036
4068,19.06.2017-12:00,0.8965505820224987,2.164352066260739,0.3469190567254028,3.9696094434178764,1.8044990796173015,-1.6453770405825885,3.568774532916638
4069,19.06.2017-13:00,1.817552575414464,2.2588249913537015,0.300019292274123,3.931765063880728,1.8439528723626575,-1.9047414530517903,4.192358475134798
4070,19.06.2017-14:00,0.9579507149152967,1.2196228153311155,0.22966964559718553,2.7234872650352764,1.7518940226234938,-1.7491228055702692,4.156949190012911
4071,19.06.2017-15:00,1.4491517780576781,1.1251498902381531,0.14368674410316665,2.2304133925150484,1.7650452868719455,-1.6972499230764289,2.483189131914248
4072,19.06.2017-16:00,2.063153106985655,-0.5281262988886889,0.09678697965187796,0.26305412585202675,1.5546250588967143,-1.022902450656504,1.7365693417039365
4073,19.06.2017-17:00,0.6509500504513083,-0.5281262988886889,0.06552047001768847,-0.20314475250413955,1.3573560951699348,-0.037317683273537,0.40222266469416457
4074,19.06.2017-18:00,-0.08585154426226412,-0.5281262988886889,0.0029874507493005942,-0.33971360039906356,1.1732383956916073,0.6370297891463879,-0.02156791913811662
4075,19.06.2017-19:00,0.5281497846657127,-0.5281262988886889,-0.020462431476339304,-0.40333603556296393,0.9759694319648278,0.3257924941833456,-0.18864130349408118
4076,19.06.2017-20:00,-0.02445141136946637,-0.5281262988886889,-0.06736219592762799,-0.39894828141372946,0.870759317977212,0.27391961168950524,-0.4285502414127974
4077,19.06.2017-21:00,-1.0068535376542294,1.1251498902381531,-0.08299545074472718,-0.3249049301453971,0.7918517324865002,0.6370297891463879,-0.39487784785966085
4078,19.06.2017-22:00,-1.1296538034398247,-0.5281262988886889,-0.07517882333617759,-0.5431956990698138,0.6208852972566246,1.1557586140847915,-0.3488794675459131
4079,19.06.2017-23:00,-1.1296538034398247,-0.5281262988886889,-0.09081207815326789,-0.5761038551890726,0.502523919020557,1.207631496578632,-0.46037380082298074
4080,20.06.2017-00:00,-0.08585154426226412,-0.5281262988886889,-0.09862870556181748,-0.5788462015323442,0.4893726547721049,0.9482670841094301,-0.46037380082298074
4081,20.06.2017-01:00,-1.3752543350110156,-0.5281262988886889,-0.07517882333617759,-0.5733615088458011,0.3841625407844893,0.5851569066525475,-0.46037380082298074
4082,20.06.2017-02:00,0.6509500504513083,-0.5281262988886889,-0.08299545074472718,-0.5717161010398382,0.3973138050329412,-0.037317683273537,-0.46037380082298074
4083,20.06.2017-03:00,0.5895499175585105,-0.5281262988886889,-0.0517289411105288,-0.5601982463980975,0.4367675977782972,-0.4004278607304196,-0.46037380082298074
4084,20.06.2017-04:00,1.633352176736071,-0.1029981359703581,-0.06736219592762799,-0.4779278560999505,0.4367675977782972,-0.45230074322426,-0.46037380082298074
4085,20.06.2017-05:00,-0.5156524745118479,0.9834405025987094,-0.0517289411105288,-0.14445854075812803,0.6077340330081726,-0.7116651556934619,-0.46037380082298074
4086,20.06.2017-06:00,1.694752309628869,2.306061453900183,-0.0360956862934385,0.6217530275519477,0.7392466754926923,-1.022902450656504,-0.46037380082298074
4087,20.06.2017-07:00,0.7737503162369035,2.306061453900183,-0.004829176659249001,1.3364084846085178,0.9102131107225679,-1.1266482156441848,-0.3293819621291183
4088,20.06.2017-08:00,1.264951379379285,2.306061453900183,-0.004829176659249001,2.060936388500866,1.0811795459524434,-1.5416312755949078,-0.2491508030634444
4089,20.06.2017-09:00,1.694752309628869,2.306061453900183,0.01080407815785019,2.761331644572424,1.1995409241885113,-1.7491228055702692,0.7127261532426925
4090,20.06.2017-10:00,1.5105519109504755,2.164352066260739,0.01080407815785019,3.325706522017712,1.3968098879152908,-1.9566143355456307,1.8179208677705259
4091,20.06.2017-11:00,1.694752309628869,1.644750978249446,-0.020462431476339304,3.11564279212311,1.4362636806606464,-2.112232983027152,3.043574532402183
4092,20.06.2017-12:00,1.3877516451648806,2.117115603714258,-0.0282790588848889,4.053525241521986,1.646683908635878,-2.1641058655209924,2.977238169722622
4093,20.06.2017-13:00,2.308753638556846,2.2588249913537015,-0.0517289411105288,4.269622133371786,1.6992889656296857,-2.112232983027152,3.6244657282680697
4094,20.06.2017-14:00,2.861354834592025,1.9754062160748145,-0.0595455685190784,3.532479436300388,1.607230115890522,-2.2159787480148325,2.6085783960429825
4095,20.06.2017-15:00,2.0017529740928577,2.164352066260739,-0.06736219592762799,3.8478492657766186,1.646683908635878,-2.371597395496354,2.40284603027437
4096,20.06.2017-16:00,1.817552575414464,2.117115603714258,-0.07517882333617759,3.1699412497198876,1.7124402298781378,-2.2159787480148325,3.202355762169939
4097,20.06.2017-17:00,2.1859533727712503,1.4558051280635214,-0.08299545074472718,1.9622119201430894,1.4494149449090985,-2.112232983027152,3.2834833358553444
4098,20.06.2017-18:00,2.0017529740928577,0.9834405025987094,-0.06736219592762799,1.0736917049231018,1.686137701381234,-2.3197245130025133,2.826412527259913
4099,20.06.2017-19:00,1.694752309628869,2.117115603714258,-0.0517289411105288,1.0243294707442137,1.5151712661513583,-2.267851630508673,1.777581335856505
4100,20.06.2017-20:00,1.0807509807008921,2.2115885288072206,0.0029874507493005942,0.3102224829562977,1.291599773927675,-2.1641058655209924,0.8449505032100056
4101,20.06.2017-21:00,1.633352176736071,1.9281697535283333,0.057703842609138876,-0.2185018920264603,1.1074820744493474,-2.008487218039471,-0.14718113564803564
4102,20.06.2017-22:00,0.34394938598731983,-0.5281262988886889,0.06552047001768847,-0.5371625371146164,0.897061846474116,-1.8009956880641096,-0.3445093370214591
4103,20.06.2017-23:00,0.1597489873089266,-0.5281262988886889,0.11242023446896827,-0.5733615088458011,0.7523979397411442,-1.6453770405825885,-0.45995359596486013
4104,21.06.2017-00:00,0.9579507149152967,-0.5281262988886889,0.13587011669461704,-0.5739099781144553,0.6866416184988844,-1.5935041580887481,-0.46037380082298074
4105,21.06.2017-01:00,0.036948721523331375,-0.5281262988886889,0.18276988114590573,-0.5744584473831097,0.6340365615050767,-1.4897583931010674,-0.46037380082298074
4106,21.06.2017-02:00,-0.6384527402974433,-0.5281262988886889,0.22966964559718553,-0.5793946708009985,0.5288264475174609,-1.3341397456195463,-0.46037380082298074
4107,21.06.2017-03:00,-0.9454534047614317,-0.5281262988886889,0.2531195278228343,-0.5656829390846406,0.3447087480391333,-0.9191566856688234,-0.46037380082298074
4108,21.06.2017-04:00,-1.0068535376542294,-0.1029981359703581,0.2609361552313839,-0.4861548951297652,0.30525495529377755,-0.867283803174983,-0.46037380082298074
4109,21.06.2017-05:00,-1.3752543350110156,0.9834405025987094,0.2609361552313839,-0.14007078660889352,0.5814315045112688,-1.1785210981380252,-0.46037380082298074
4110,21.06.2017-06:00,-0.9454534047614317,2.306061453900183,0.28438603745702384,0.6052989494923183,0.818154260983404,-1.437885510607227,-0.46037380082298074
4111,21.06.2017-07:00,0.036948721523331375,2.306061453900183,0.28438603745702384,1.3599926631606534,1.0548770174555395,-1.8009956880641096,-0.2995753860379138
4112,21.06.2017-08:00,0.1597489873089266,1.4558051280635214,0.2922026648655734,1.6819441238607353,1.0417257532070876,-1.6972499230764289,-0.24041047478175906
4113,21.06.2017-09:00,0.5281497846657127,1.1723863527846343,0.300019292274123,1.8152221561437334,1.1469358671947032,-1.85286857055795,0.9733651750844315
4114,21.06.2017-10:00,-0.5770526074046456,2.306061453900183,0.2609361552313839,3.4677600625991793,1.331053566673031,-1.9047414530517903,1.4536312918481182
4115,21.06.2017-11:00,-0.699852873190241,2.117115603714258,0.24530290041428474,3.2417907239136023,1.4099611521637425,-2.112232983027152,2.7238826763440467
4116,21.06.2017-12:00,0.7123501833441057,2.2588249913537015,0.21403639078009523,4.18625480453633,1.5546250588967143,-1.9047414530517903,3.599365446587816
4117,21.06.2017-13:00,0.09834885441612884,2.0226426786212954,0.19058650855444645,4.06668850396969,1.4494149449090985,-2.0603601005333116,3.7461569207142342
4118,21.06.2017-14:00,1.0193508478080942,1.9281697535283333,0.12805348928606747,3.7666758140157803,1.607230115890522,-2.0603601005333116,1.4471321681977052
4119,21.06.2017-15:00,0.4053495188801173,2.2115885288072206,0.10460360706042755,3.475987101628994,1.7387427583750417,-2.2159787480148325,0.6452692218638842
4120,21.06.2017-16:00,-0.4542523416190503,2.164352066260739,0.04988721520058928,3.021306077914568,1.7781965511203977,-2.112232983027152,2.1503870187483045
4121,21.06.2017-17:00,1.5719520438432735,0.2748935644014915,0.03425396038349009,1.4153880592947392,1.4888687376544545,-1.5935041580887481,2.050770498538371
4122,21.06.2017-18:00,0.466749651772915,-0.48088983634220767,0.04207058779203968,0.38865358837386454,1.3705073594183865,-1.437885510607227,0.1756482724283262
4123,21.06.2017-19:00,0.09834885441612884,-0.5281262988886889,0.02643733297494938,-0.05560651923612924,1.2784485096792229,-1.1266482156441848,0.0717736315009193
4124,21.06.2017-20:00,0.34394938598731983,-0.5281262988886889,0.018620705566399786,-0.2667671876680399,1.2389947169338669,-1.3341397456195463,-0.16970411604329863
4125,21.06.2017-21:00,0.1597489873089266,-0.5281262988886889,0.018620705566399786,-0.44392276144338316,1.1337846029462513,-0.9710295681626637,-0.3548183404630915
4126,21.06.2017-22:00,-0.4542523416190503,-0.5281262988886889,0.02643733297494938,-0.5492288610250112,0.9496669034679237,-0.5041736257181003,-0.42227527184189984
4127,21.06.2017-23:00,-0.39285220872625254,-0.5281262988886889,0.018620705566399786,-0.5722645703084924,0.85760805372876,-0.3485549782365792,-0.46037380082298074
4128,22.06.2017-00:00,-1.25245406922542,-0.5281262988886889,-0.004829176659249001,-0.5755553859204183,0.818154260983404,-0.3485549782365792,-0.46037380082298074
4129,22.06.2017-01:00,-1.0682536705470271,-0.5281262988886889,0.0029874507493005942,-0.5761038551890726,0.7918517324865002,-0.08919056576737737,-0.46037380082298074
4130,22.06.2017-02:00,-0.9454534047614317,-0.5281262988886889,-0.020462431476339304,-0.5766523244577269,0.6866416184988844,0.22204672919566487,-0.46037380082298074
4131,22.06.2017-03:00,0.036948721523331375,-0.5281262988886889,-0.0517289411105288,-0.5722645703084924,0.6734903542504325,0.3257924941833456,-0.46037380082298074
4132,22.06.2017-04:00,-0.3314520758334548,-0.5281262988886889,-0.0517289411105288,-0.5492288610250112,0.6603390900019805,0.27391961168950524,-0.46037380082298074
4133,22.06.2017-05:00,-0.3314520758334548,-0.5281262988886889,-0.0595455685190784,-0.43405031460760546,0.6471878257535286,0.27391961168950524,-0.46037380082298074
4134,22.06.2017-06:00,1.3877516451648806,-0.5281262988886889,-0.07517882333617759,-0.24208607057859582,0.6471878257535286,-0.3485549782365792,-0.4203702983299017
4135,22.06.2017-07:00,0.6509500504513083,-0.5281262988886889,-0.06736219592762799,0.07054141255436282,0.6866416184988844,-0.24480921324889848,-0.22001662197801009
4136,22.06.2017-08:00,0.5281497846657127,-0.48088983634220767,-0.07517882333617759,0.6486280217160091,0.7918517324865002,-0.4004278607304196,0.23302021997946334
4137,22.06.2017-09:00,-0.02445141136946637,1.0779134276916718,-0.08299545074472718,1.6912681014278586,1.0022719604617316,-0.7635380381873023,0.420151427718235
4138,22.06.2017-10:00,-0.699852873190241,2.306061453900183,-0.14552847001310618,2.329686330141479,1.1863896599400592,-0.9710295681626637,1.002387279130108
4139,22.06.2017-11:00,-0.3314520758334548,2.306061453900183,-0.20024486187294446,3.0317269940190004,1.331053566673031,-1.282266863125706,2.0957043150563615
4140,22.06.2017-12:00,-0.5156524745118479,1.7392239033424084,-0.23932799891568354,3.586229424628511,1.4231124164121947,-1.3860126281133867,3.186444184163179
4141,22.06.2017-13:00,-0.4542523416190503,-0.5281262988886889,-0.24714462632422424,1.8229007259048937,1.3836586236668387,-1.437885510607227,2.3885030601947808
4142,22.06.2017-14:00,-0.8226531389758364,0.4638394145874163,-0.27059450854987305,1.9726328362475214,1.4625662091575506,-1.3341397456195463,2.324183680834198
4143,22.06.2017-15:00,-0.8226531389758364,-0.2447075236098017,-0.2940443907755129,1.586510471114885,1.4231124164121947,-1.3860126281133867,1.5374481766254955
